CLUSTER,LOC_ID,LATITUDE,LONGITUDE,RADIUS,START_DATE,END_DATE,NUMBER_LOC,TEST_STAT,P_VALUE,OBSERVED,EXPECTED,ODE,GINI_CLUST,period,period2,period3
1,"1767",36.3138807800,127.3799342000,0.0241962158,2021/3/1,2021/3/31,4,358.1794952238,0.00000000000000001,654,184.8023218709,3.5389165752,F,2021/3/1-2,2021/3/1-2021/3/3,2021/3/1-2021/3/31
2,"1010",36.3153221500,127.3797164000,0.0141050625,2021/3/1,2021/3/31,4,138.7331250811,0.00000000000000001,568,257.8977647434,2.2024231213,F,2021/3/1-2,2021/3/1-2021/3/3,2021/3/1-2021/3/31
3,"356",36.3155020100,127.3803970000,0.0000000000,2021/3/1,2021/4/30,1,95.1407826201,0.00000000000000001,152,38.5468249024,3.9432560369,F,2021/3/1-2,2021/3/1-2021/4/3,2021/3/1-2021/4/30
4,"1360",36.3143588800,127.3812303000,0.0000000000,2021/9/1,2021/9/30,1,71.5981726275,0.00000000000000001,240,99.0014131806,2.4242078198,F,2021/9/1-2,2021/9/1-2021/9/3,2021/9/1-2021/9/30
5,"828",36.3157187800,127.3811895000,0.0184865664,2021/3/1,2021/3/31,5,51.3958739089,0.00000000000000001,390,222.6149006975,1.7519042920,F,2021/3/1-2,2021/3/1-2021/3/3,2021/3/1-2021/3/31
6,"1998",36.3159515000,127.3818600000,0.0000000000,2021/4/1,2021/6/30,1,51.2718488599,0.00000000000000001,264,131.7858499597,2.0032499702,F,2021/4/1-2,2021/4/1-2021/6/3,2021/4/1-2021/6/30
7,"1781",36.3151187300,127.3831417000,0.0000000000,2021/3/1,2021/5/31,1,49.7732574601,0.00000000000000001,183,78.9961099546,2.3165697666,F,2021/3/1-2,2021/3/1-2021/5/3,2021/3/1-2021/5/31
8,"1367",36.3141036000,127.3818878000,0.0103872871,2021/3/1,2021/3/31,2,48.4275794822,0.00000000000000001,128,46.3337233509,2.7625666738,F,2021/3/1-2,2021/3/1-2021/3/3,2021/3/1-2021/3/31
9,"1591",36.3159771600,127.3828923000,0.0000000000,2021/9/1,2021/9/30,1,43.6903711528,0.00000000000000001,116,42.1007460986,2.7552955885,F,2021/9/1-2,2021/9/1-2021/9/3,2021/9/1-2021/9/30
10,"1192",36.3146090700,127.3815704000,0.0043496574,2021/7/1,2021/8/31,2,40.3347068229,0.00000000000000001,586,394.8819158474,1.4839879379,F,2021/7/1-2,2021/7/1-2021/8/3,2021/7/1-2021/8/31
11,"933",36.3169092700,127.3822531000,0.0409545861,2021/4/1,2021/5/31,16,38.6834802346,0.00000000000000001,3204,2736.5073166284,1.1708355320,F,2021/4/1-2,2021/4/1-2021/5/3,2021/4/1-2021/5/31
12,"217",36.3157999200,127.3826189000,0.0252637259,2021/8/1,2021/9/30,10,38.4301056935,0.00000000000000001,2306,1913.1099393700,1.2053672152,F,2021/8/1-2,2021/8/1-2021/9/3,2021/8/1-2021/9/30
13,"374",36.3145132300,127.3815496000,0.0000000000,2021/9/1,2021/9/30,1,38.3201865941,0.00000000000000001,118,46.5550912489,2.5346314836,F,2021/9/1-2,2021/9/1-2021/9/3,2021/9/1-2021/9/30
14,"1458",36.3148406900,127.3830607000,0.0197465034,2021/3/1,2021/5/31,8,34.9901467026,0.00000000000000089,2410,2025.3097904542,1.1899414161,F,2021/3/1-2,2021/3/1-2021/5/3,2021/3/1-2021/5/31
15,"1639",36.3159288100,127.3818734000,0.0000000000,2021/7/1,2021/8/31,1,26.3837102731,0.00000000002315637,311,199.9318026410,1.5555304153,F,2021/7/1-2,2021/7/1-2021/8/3,2021/7/1-2021/8/31
17,"660",36.3157141300,127.3816080000,0.0180591504,2021/6/1,2021/7/31,6,19.2046058082,0.00000010674258388,1433,1212.0422434621,1.1823020260,F,2021/6/1-2,2021/6/1-2021/7/3,2021/6/1-2021/7/31
18,"451",36.3154086300,127.3831968000,0.0000000000,2021/7/1,2021/7/31,1,18.1977741698,0.00000034845575703,135,76.4909586835,1.7649144726,F,2021/7/1-2,2021/7/1-2021/7/3,2021/7/1-2021/7/31
19,"307",36.3154520900,127.3831818000,0.0000000000,2021/6/1,2021/6/30,1,16.5235932772,0.00000249184637369,236,158.3887462201,1.4900048497,F,2021/6/1-2,2021/6/1-2021/6/3,2021/6/1-2021/6/30
20,"646",36.3147038500,127.3819195000,0.0163550633,2021/3/1,2021/5/31,4,14.1639112132,0.00003987628424595,646,520.2458098436,1.2417207170,F,2021/3/1-2,2021/3/1-2021/5/3,2021/3/1-2021/5/31
